690i,ua,690ii,uaa,u1i,u2i,u3i,u4i,u5i,u6i,u7i,u8i,u9i,u10i,u11i,u12i,u1ii,u2ii,u3ii,u4ii,u5ii,u6ii,u7ii,u8ii,u9ii,u10ii,u11ii,u12ii,h1i,h2i,h3i,h4i,h5i,h6i,h7i,h8i,h9i,h10i,h11i,h12i,h1ii,h2ii,h3ii,h4ii,h5ii,h6ii,h7ii,h8ii,h9ii,h10ii,h11ii,h12ii
4433,0.8623,6621,0.2974,2716,2808,3591,4044,4381,5593,5385,5711,5926,5309,6791,5468,3426,2953,3670,3796,4035,4780,5367,5533,5533,5470,6224,5495,4267,4383,5394,5994,6297,6677,5364,5194,5873,6271,5731,5740,4737,4980,3696,4817,4555,5389,4982,6000,5176,5972,4886,5202
4308,0.9162,6846,0.3023,2653,2722,3482,3952,4227,5475,5264,5537,5794,5208,6621,5362,3552,3001,3728,3911,4174,4891,5472,5709,5709,5624,6337,5627,4163,4266,5270,5893,6120,6441,5194,5129,5699,6205,5616,5595,4861,5137,3830,4920,4587,5478,5085,6086,5300,6147,4920,5387
4209,0.8745,7008,0.3449,2595,2647,3380,3863,4187,5315,5145,5448,5646,5030,6522,5275,3596,3104,3870,4001,4313,5030,5667,5809,5809,5700,6501,5832,4066,4218,5148,5753,6026,6367,5050,5029,5578,6027,5470,5444,5048,5285,3895,5042,4699,5699,5218,6267,5429,6306,5037,5492
4072,0.9805,7234,0.3806,2536,2552,3303,3710,4056,5191,5004,5311,5474,4955,6324,5121,3767,3174,3959,4132,4403,5174,5832,5991,5991,5883,6649,5949,3964,4074,4979,5591,5838,6129,4963,4908,5476,5843,5354,5358,5233,5452,4042,5152,4908,5773,5329,6480,5574,6479,5228,5687
4021,0.8305,7471,0.3215,2529,2469,3210,3616,3988,5090,4901,5184,5402,4855,6174,5055,3845,3247,4086,4254,4513,5368,5976,6155,6155,6010,6789,6132,3883,3979,4826,5497,5743,5983,4839,4745,5279,5778,5229,5129,5324,5596,4080,5257,4952,5907,5477,6681,5744,6581,5395,5769
3873,1,7703,0.3909,2413,2381,3145,3474,3835,4968,4754,5037,5234,4754,6036,4923,3972,3323,4201,4344,4685,5486,6129,6316,6316,6231,7011,6349,3774,3874,4704,5325,5576,5830,4726,4660,5211,5641,5153,5055,5492,5772,4132,5436,5048,6119,5604,6786,5860,6747,5514,5952
3768,0.9212,7892,0.3943,2337,2335,3029,3433,3770,4829,4648,4872,5124,4611,5878,4823,4059,3427,4257,4469,4803,5693,6374,6470,6470,6384,7192,6486,3666,3818,4623,5146,5469,5676,4597,4580,5058,5424,4970,4985,5666,5885,4284,5522,5198,6263,5750,7055,6021,6920,5644,6135
3687,0.9307,8240,0.3127,2292,2278,3021,3338,3697,4709,4577,4860,5060,4547,5767,4711,4184,3520,4397,4580,4959,5805,6476,6690,6690,6509,7327,6702,3598,3741,4544,5066,5315,5613,4507,4470,4925,5402,4889,4836,5801,6101,4370,5729,5280,6444,5908,7243,6188,7106,5751,6328
3623,0.8828,8490,0.3336,2269,2218,2932,3275,3652,4603,4450,4682,4922,4478,5677,4604,4335,3592,4538,4732,5094,6041,6723,6910,6910,6707,7595,6907,3545,3608,4407,4950,5191,5463,4377,4426,4866,5214,4777,4745,5996,6317,4420,5824,5447,6642,6045,7407,6300,7325,5883,6501
3534,0.9255,8732,0.3977,2225,2190,2836,3148,3542,4513,4360,4561,4775,4381,5457,4542,4440,3700,4668,4893,5207,6208,6909,7065,7065,6900,7732,7119,3420,3569,4289,4853,5060,5370,4300,4306,4772,5133,4700,4614,6174,6432,4581,5952,5535,6754,6238,7673,6486,7496,6084,6663
3460,0.9227,8979,0.4533,2153,2104,2803,3096,3430,4351,4204,4502,4689,4296,5351,4437,4573,3801,4801,5020,5391,6350,7083,7257,7257,7127,7991,7283,3374,3486,4217,4710,4929,5209,4201,4222,4625,5003,4530,4534,6282,6665,4718,6135,5658,6950,6384,7916,6655,7721,6258,6802
3414,0.7851,9333,0.3647,2145,2054,2727,3009,3363,4294,4111,4385,4574,4166,5198,4322,4734,3898,4932,5121,5470,6593,7286,7514,7514,7321,8142,7520,3274,3412,4101,4620,4818,5091,4145,4112,4509,4886,4428,4362,6524,6894,4787,6271,5903,7157,6629,8115,6849,7841,6378,7006
3288,0.9254,9705,0.3376,2083,2039,2632,2935,3297,4200,4072,4270,4459,4126,5075,4297,4872,4001,5094,5362,5731,6829,7572,7763,7763,7563,8371,7720,3217,3276,3965,4497,4711,4979,3984,4062,4386,4740,4382,4293,6780,7132,4932,6451,5997,7390,6766,8332,6983,8070,6615,7258
3273,0.8114,10047,0.3339,2016,1972,2651,2889,3225,4122,3959,4217,4424,4063,4967,4260,5047,4168,5234,5518,5872,7129,7874,8028,8028,7857,8701,7989,3177,3272,3899,4384,4635,4894,3931,3988,4338,4717,4244,4227,6999,7363,5084,6683,6183,7607,7048,8680,7264,8340,6810,7510
3167,0.8832,10365,0.3656,2000,1917,2573,2797,3140,3989,3857,4109,4313,3974,4850,4102,5148,4240,5383,5615,6067,7273,8001,8208,8208,8006,8797,8200,3085,3177,3813,4318,4508,4764,3841,3878,4236,4558,4162,4134,7174,7582,5174,6792,6323,7809,7161,8809,7406,8560,6881,7676
3120,0.8411,10723,0.3745,1933,1885,2487,2728,3112,3905,3750,3986,4226,3882,4742,4037,5339,4406,5581,5855,6223,7429,8263,8433,8433,8231,9080,8431,3020,3110,3731,4171,4417,4712,3739,3852,4129,4410,4016,3983,7375,7726,5288,6977,6525,7990,7350,9100,7651,8723,7124,7844
3069,0.7581,11145,0.0715,1924,1830,2446,2671,2988,3817,3635,3905,4158,3811,4631,3974,5616,4521,5783,6119,6440,7695,8565,8765,8765,8593,9309,8692,2983,3028,3630,4095,4305,4619,3653,3763,4052,4378,3961,3945,7636,8030,5453,7174,6597,8250,7629,9421,7864,8986,7292,8158
2957,0.9017,11457,0.0715,1866,1832,2387,2608,2893,3690,3550,3793,4019,3700,4522,3835,5646,4718,5887,6224,6590,7947,8807,8992,8992,8803,9474,8865,2881,2956,3566,3993,4175,4471,3587,3663,3950,4221,3853,3841,7837,8266,5540,7313,6783,8449,7776,9709,8107,9256,7493,8311
2940,0.8044,11754,0.0715,1816,1756,2369,2552,2865,3608,3507,3764,3994,3686,4402,3818,5841,4893,6147,6476,6781,8268,9082,9279,9279,9105,9799,9187,2824,2940,3458,3903,4123,4477,3461,3601,3853,4159,3784,3776,8054,8477,5690,7559,7033,8701,8053,9989,8333,9480,7677,8612
2883,0.7865,12188,0.0715,1789,1761,2309,2477,2769,3532,3387,3629,3872,3587,4273,3705,6007,4996,6300,6703,7028,8544,9341,9531,9531,9414,10015,9457,2816,2833,3375,3874,4018,4384,3410,3492,3738,4056,3665,3678,8312,8790,5872,7777,7178,8947,8305,10284,8575,9777,7916,8872
2805,0.7958,12552,0.0715,1790,1717,2223,2391,2724,3451,3364,3520,3777,3505,4211,3671,6252,5224,6550,6884,7204,8836,9678,9842,9842,9671,10337,9779,2716,2787,3275,3739,3961,4284,3327,3504,3659,3944,3643,3637,8595,8990,5966,7988,7407,9231,8536,10621,8790,10092,8187,9105
2825,0.6717,13019,0.0715,1739,1689,2191,2385,2713,3417,3279,3504,3759,3480,4107,3600,6536,5476,6850,7175,7419,9123,10051,10215,10215,10145,10668,10075,2711,2793,3244,3654,3904,4182,3319,3393,3580,3922,3568,3575,8862,9447,6216,8252,7706,9514,8900,10981,9153,10481,8555,9475
2738,0.728,13557,0.0715,1694,1672,2164,2349,2592,3364,3189,3425,3680,3430,4007,3561,6651,5662,7096,7411,7681,9458,10405,10486,10486,10479,11015,10381,2612,2702,3132,3594,3790,4086,3216,3371,3528,3797,3522,3419,9214,9720,6357,8505,7915,9748,9232,11398,9374,10785,8761,9808
2696,0.7529,13916,0.0715,1663,1621,2101,2262,2563,3230,3121,3337,3574,3340,3933,3458,6876,5834,7260,7654,7878,9743,10594,10807,10807,10674,11229,10658,2616,2667,3082,3531,3726,4073,3124,3272,3375,3749,3366,3399,9425,9941,6522,8699,8052,10029,9408,11623,9676,11038,8876,10037
2648,0.6415,14376,0.0715,1601,1579,2062,2220,2530,3159,3046,3288,3539,3262,3837,3370,7075,6089,7532,7959,8152,10103,11011,11159,11159,10966,11545,10957,2531,2616,2983,3404,3631,3948,3073,3237,3325,3645,3329,3303,9763,10266,6666,8934,8260,10267,9712,11936,9905,11436,9212,10345
2614,0.6685,14859,0.0715,1598,1547,2071,2196,2449,3078,2970,3174,3420,3208,3751,3312,7297,6295,7793,8212,8383,10431,11350,11474,11474,11398,11881,11234,2510,2545,2917,3327,3528,3895,2993,3140,3283,3576,3275,3267,10041,10617,6822,9176,8500,10512,10076,12321,10183,11732,9473,10726
2555,0.6626,15360,0.0715,1604,1536,1974,2143,2361,3058,2926,3139,3362,3172,3617,3250,7525,6613,8099,8526,8717,10797,11754,11810,11810,11806,12275,11582,2466,2530,2870,3254,3476,3807,2993,3111,3196,3508,3194,3180,10427,10990,6970,9400,8747,10899,10451,12659,10566,12227,9833,11128
2533,0.6007,15926,0.0715,1562,1520,1955,2091,2337,2934,2880,3040,3289,3051,3598,3197,7790,6793,8436,8832,8932,11187,12171,12228,12228,12223,12700,11991,2414,2479,2734,3187,3399,3744,2902,3050,3107,3397,3129,3175,10714,11355,7253,9700,8955,11137,10786,13084,10888,12597,10082,11490
2491,0.5804,16525,0.0715,1485,1527,1921,2090,2331,2903,2760,2957,3216,3021,3528,3112,8080,7062,8711,9136,9191,11566,12563,12553,12553,12618,13051,12397,2343,2434,2681,3128,3339,3658,2862,3014,3105,3349,3061,3068,11082,11673,7401,9949,9242,11492,11169,13494,11256,12934,10454,11959
2474,0.5792,17102,0.0715,1542,1469,1880,2003,2263,2878,2735,2944,3163,2964,3465,3064,8275,7344,9050,9428,9498,11930,12981,12947,12947,12949,13645,12728,2319,2366,2638,3044,3251,3621,2742,2932,3008,3285,3007,3047,11367,12119,7684,10243,9587,11697,11553,13928,11641,13406,10850,12336
2413,0.5169,17639,0.0715,1523,1467,1830,1948,2240,2817,2725,2911,3077,2959,3387,3014,8662,7637,9386,9801,9905,12371,13387,13460,13460,13446,14060,13166,2323,2308,2553,2994,3216,3527,2790,2869,2966,3249,2947,2923,11825,12618,7854,10568,9841,12153,11987,14424,12058,14042,11246,12859
2411,0.3694,18374,0.0715,1446,1428,1818,1910,2160,2785,2652,2840,3060,2904,3315,2982,8968,7995,9763,10278,10277,12887,13888,13884,13884,13999,14554,13530,2232,2293,2488,2877,3192,3488,2713,2825,2898,3182,2900,2935,12283,13025,8155,10896,10176,12508,12464,14923,12485,14469,11647,13338
2364,0.4867,18936,0.0715,1409,1440,1796,1939,2126,2699,2612,2764,2983,2798,3296,2923,9364,8242,10179,10581,10616,13336,14513,14404,14404,14438,15083,14009,2218,2267,2468,2898,3169,3429,2664,2771,2848,3173,2877,2910,12638,13539,8347,11218,10427,12871,12921,15440,12854,14928,12074,13840
2301,0.5049,19605,0.0715,1443,1428,1773,1860,2079,2618,2558,2723,2904,2776,3233,2873,9733,8558,10521,11047,10891,13867,14925,14779,14779,14894,15607,14423,2191,2202,2401,2817,3036,3349,2598,2722,2813,3059,2795,2808,13029,14003,8605,11500,10725,13271,13413,15897,13314,15497,12451,14331
2294,0.4926,20333,0.0715,1393,1411,1769,1834,2031,2605,2474,2671,2910,2720,3123,2844,10098,8924,11054,11477,11423,14448,15525,15375,15375,15397,16093,15006,2162,2154,2353,2744,2981,3334,2517,2687,2757,3060,2741,2774,13556,14534,8916,11912,11061,13778,13935,16465,13834,16032,12927,14899
2308,0.28,21100,0.0715,1393,1390,1674,1807,2005,2506,2418,2638,2839,2669,3075,2778,10501,9260,11449,11813,11737,14902,15948,15894,15894,15964,16648,15434,2138,2139,2278,2689,2938,3258,2487,2616,2643,2987,2709,2716,13971,15020,9161,12258,11363,14158,14398,16907,14234,16482,13368,15474
2215,0.388,21842,0.0715,1329,1364,1668,1734,1950,2547,2365,2569,2774,2598,3051,2720,10792,9630,11910,12333,12153,15484,16655,16383,16383,16570,17173,15859,2105,2112,2241,2643,2884,3205,2487,2586,2633,2932,2660,2692,14469,15479,9357,12636,11692,14520,14989,17543,14730,17146,13766,16043
2208,0.441,22651,0.0715,1346,1334,1671,1742,1884,2412,2367,2507,2741,2563,2981,2664,11327,9934,12378,12901,12546,16037,17182,16980,16980,17028,17826,16360,2085,2095,2180,2560,2769,3099,2411,2551,2586,2891,2586,2632,14947,16062,9717,12932,11919,14927,15448,18147,15303,17735,14280,16646
2175,0.3791,23406,0.0715,1337,1326,1610,1693,1857,2382,2313,2463,2679,2565,2909,2623,11779,10367,12866,13334,12996,16590,17753,17552,17552,17668,18398,16906,2032,2100,2122,2522,2756,3059,2342,2481,2552,2781,2547,2577,15413,16658,10053,13372,12344,15403,16113,18709,15800,18417,14853,17270
2169,0.2113,24263,0.0715,1335,1343,1629,1700,1844,2353,2227,2444,2626,2509,2860,2611,12252,10718,13426,13898,13535,17334,18413,18153,18153,18336,19100,17486,2004,2040,2060,2442,2715,3011,2379,2449,2476,2787,2503,2535,16062,17284,10417,13811,12738,15885,16704,19416,16355,18982,15270,17919
2135,0.3015,25174,0.0715,1277,1335,1584,1629,1778,2270,2170,2397,2597,2419,2830,2563,12745,11188,13972,14518,13966,17903,19173,18834,18834,19010,19761,18109,1963,1948,2054,2408,2593,2974,2316,2442,2458,2718,2435,2508,16536,17918,10811,14260,13146,16439,17311,20135,16921,19754,15902,18723
2113,0.2331,25998,0.0715,1263,1255,1603,1620,1776,2256,2129,2373,2532,2429,2765,2513,13242,11657,14553,14998,14530,18654,19823,19560,19560,19682,20448,18734,1934,1972,1988,2344,2599,2919,2238,2366,2416,2726,2443,2486,17089,18639,11240,14714,13461,16998,18009,20838,17563,20455,16345,19352
2083,0.2736,26958,0.0715,1239,1283,1529,1602,1718,2222,2118,2331,2520,2372,2691,2420,13895,12039,15124,15652,15046,19308,20554,20239,20239,20462,21081,19316,1944,1947,1929,2316,2566,2865,2241,2312,2326,2657,2376,2431,17697,19223,11522,15168,13910,17532,18619,21476,18061,21164,16900,20083
2064,0.1927,27954,0.0715,1254,1311,1488,1562,1718,2155,2120,2268,2444,2348,2659,2434,14455,12548,15742,16280,15672,20013,21382,20935,20935,21171,21888,20054,1891,1926,1913,2287,2494,2810,2197,2275,2323,2567,2307,2379,18402,19997,11897,15688,14230,18126,19361,22331,18847,21994,17572,20877
2046,0.1583,28996,0.0715,1236,1261,1515,1573,1660,2145,2029,2220,2414,2255,2596,2372,15021,13086,16372,16951,16186,20819,22234,21687,21687,21964,22644,20665,1893,1885,1857,2220,2480,2767,2139,2270,2276,2576,2317,2339,19004,20638,12405,16212,14676,18731,20104,23061,19492,22777,18128,21575
2013,0.1066,30017,0.0715,1225,1202,1512,1531,1625,2065,2000,2198,2371,2275,2592,2368,15766,13598,17099,17717,16829,21633,23057,22457,22457,22890,23457,21498,1825,1832,1800,2156,2414,2692,2111,2239,2256,2438,2218,2278,19683,21487,12884,16750,15141,19366,20907,23994,20278,23619,18798,22430
2006,0.0988,31219,0.0715,1203,1213,1444,1430,1643,2071,1973,2183,2373,2242,2517,2305,16414,14120,17940,18433,17576,22410,24022,23328,23328,23693,24335,22256,1803,1841,1787,2121,2351,2683,2104,2200,2201,2481,2178,2260,20397,22255,13455,17451,15546,20161,21641,24952,21003,24540,19431,23319
1932,0.1476,32349,0.0715,1192,1183,1447,1463,1602,2035,1943,2172,2322,2208,2476,2307,17105,14766,18627,19207,18230,23128,24901,24039,24039,24588,25149,23028,1789,1790,1725,2119,2302,2632,2057,2149,2177,2431,2128,2207,20992,23159,14018,18028,15979,20802,22404,25797,21786,25354,20122,24164
1964,0.0139,33395,0.0715,1188,1176,1410,1443,1588,1960,1903,2095,2271,2127,2451,2209,17780,15303,19393,20010,18908,24052,25668,24901,24901,25587,25983,23723,1800,1730,1693,2034,2261,2579,2023,2104,2126,2395,2109,2258,21695,23901,14626,18717,16495,21512,23172,26761,22597,26222,20796,25020
1922,0.0533,34536,0.0715,1154,1147,1386,1413,1541,1973,1848,2079,2237,2103,2453,2203,18530,15985,20202,20904,19580,24946,26724,25603,25603,26480,26830,24614,1743,1723,1696,1999,2242,2489,1988,2078,2077,2335,2066,2167,22476,24716,15229,19346,17000,22207,24062,27694,23348,27140,21414,25964
1924,0,35904,0.0715,1157,1170,1337,1406,1537,1927,1827,2069,2176,2072,2342,2184,19361,16531,21050,21851,20353,25769,27774,26471,26471,27475,27993,25453,1758,1724,1626,1934,2214,2504,1962,2082,2070,2318,2041,2127,23228,25681,15750,20148,17436,22983,24843,28667,24201,28078,22129,26859
1864,0.1556,36917,0.0715,1139,1155,1363,1371,1480,1866,1813,2042,2132,2056,2313,2102,20210,17168,21952,22681,21087,26740,28823,27396,27396,28492,28880,26360,1693,1698,1614,1905,2201,2429,1953,2029,2051,2272,2027,2108,23943,26561,16413,20906,18036,23805,25718,29793,25091,29079,23029,27837
60084,0.1023,1540,0.6233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57757,0.0788,1573,0.2331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55771,0.0437,1584,0.3282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53691,0.0235,1625,0.1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51637,0.0113,1626,0.1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49609,0.0067,1630,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47660,0.0032,1670,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45848,0,1694,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43911,0.0105,1709,0.1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42163,0.0142,1736,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40600,0.012,1753,0.1485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38929,0.0259,1786,0.1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37254,0.0442,1771,0.1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35812,0.0521,1847,0.0283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34367,0.0627,1864,0.9924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32903,0.083,1887,0.9067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31743,0.0806,1902,0.9629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30418,0.1042,1946,0.9912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29145,0.1182,1985,0.5944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27976,0.1422,2015,0.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27010,0.1426,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25830,0.1745,2115,0.7536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24772,0.1954,2134,0.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23842,0.2102,2150,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22814,0.2339,2226,0.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21874,0.2597,2243,0.6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21087,0.2662,2291,0.4928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20171,0.3064,2341,0.6054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19518,0.3036,2375,0.5726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18675,0.3307,2432,0.5595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17818,0.374,2511,0.4365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17131,0.3964,2549,0.4899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16369,0.4362,2560,0.5996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15781,0.4517,2673,0.4156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15183,0.46,2708,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14571,0.4917,2756,0.3237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14042,0.511,2816,0.3356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13496,0.5332,2827,0.4148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13220,0.5003,3020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12367,0.6131,3001,0.2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11961,0.6179,3062,0.7828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11466,0.6452,3153,0.6075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11011,0.6796,3188,0.7257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10680,0.6806,3267,0.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10241,0.7153,3353,0.6098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824,0.7448,3385,0.6522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9584,0.7357,3491,0.5937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9144,0.7767,3589,0.4438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8885,0.7847,3657,0.5213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8529,0.8131,3739,0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8199,0.8422,3860,0.3469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7993,0.8455,3956,0.3849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7750,0.8521,4011,0.4361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7466,0.8671,4112,0.2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7248,0.8773,4218,0.2056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7022,0.8759,4301,0.6432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6832,0.8818,4413,0.6359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6590,0.9121,4518,0.6457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6386,0.9269,4616,0.6596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6182,0.9436,4706,0.6878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6020,0.9383,4848,0.5942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5865,0.9398,4992,0.5387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,0.9479,5119,0.4745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5557,0.9304,5235,0.4646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5410,0.9438,5327,0.5561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5282,0.9367,5498,0.4673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5094,0.9719,5659,0.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4998,0.9689,5758,0.5363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4862,0.9833,5894,0.5611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4747,0.9817,6083,0.4874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4591,0.973,6205,0.4411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4477,0.9657,6431,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4358,1,6542,0.4528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4332,0.9606,6721,0.4542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4196,0.9896,6947,0.3919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4166,0.9696,7067,0.5287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4015,0.9706,7342,0.3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,0.9431,7508,0.3703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3881,0.9644,7716,0.4018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3788,0.9624,7929,0.3817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3710,0.9608,8116,0.4231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3611,0.9719,8417,0.3217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,0.9376,8576,0.4095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3586,0.9031,8870,0.3932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,0.9141,9124,0.3401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
